itemCode, vendor, vendorCode, discontinueDate
1302,Superior VIC,1302A,6/04/2022
5006,Superior TAS,5006,6/04/2022
5007,Superior TAS,5007,6/04/2022
5008,Superior TAS,5008,6/04/2022
5009,Superior TAS,5009,6/04/2022
5010,Superior TAS,5010,6/04/2022
5011,Superior TAS,5011,6/04/2022
5012,Superior TAS,5012,6/04/2022
5013,Superior TAS,5013,6/04/2022
4881,Superior TAS,4881,6/04/2022
4882,Superior TAS,4882,6/04/2022
4883,Superior TAS,4883,6/04/2022
4884,Superior TAS,4884,6/04/2022
5020,Superior TAS,5020,6/04/2022
5021,Superior TAS,5021,6/04/2022
5022,Superior TAS,5022,6/04/2022
5023,Superior TAS,5023,6/04/2022
5024,Superior TAS,5024,6/04/2022
5025,Superior TAS,5025,6/04/2022
5028,Superior TAS,5028,6/04/2022
